vungtauurl,,,,,,,,,,,,
/Hotel_Review-g303946-d1488402-Reviews-The_Imperial_Hotel_Resort_Vung_Tau-Vung_Tau_Ba_Ria_Vung_Tau_Province.html,,,,,,,,,,,,"'https://www.tripadvisor.com/Hotel_Review-g303946-d1488402-Reviews-The_Imperial_Hotel_Resort_Vung_Tau-Vung_Tau_Ba_Ria_Vung_Tau_Province.html',"
/Hotel_Review-g303946-d16916928-Reviews-Marina_Bay_Vung_Tau_Resort_Spa-Vung_Tau_Ba_Ria_Vung_Tau_Province.html,,,,,,,,,,,,"'https://www.tripadvisor.com/Hotel_Review-g303946-d16916928-Reviews-Marina_Bay_Vung_Tau_Resort_Spa-Vung_Tau_Ba_Ria_Vung_Tau_Province.html',"
/Hotel_Review-g303946-d1229249-Reviews-Mercure_Vung_Tau-Vung_Tau_Ba_Ria_Vung_Tau_Province.html,,,,,,,,,,,,"'https://www.tripadvisor.com/Hotel_Review-g303946-d1229249-Reviews-Mercure_Vung_Tau-Vung_Tau_Ba_Ria_Vung_Tau_Province.html',"
/Hotel_Review-g303946-d19609103-Reviews-Fusion_Suites_Vung_Tau-Vung_Tau_Ba_Ria_Vung_Tau_Province.html,,,,,,,,,,,,"'https://www.tripadvisor.com/Hotel_Review-g303946-d19609103-Reviews-Fusion_Suites_Vung_Tau-Vung_Tau_Ba_Ria_Vung_Tau_Province.html',"
/Hotel_Review-g303946-d22939248-Reviews-Premier_Pearl_Hotel_Vung_Tau-Vung_Tau_Ba_Ria_Vung_Tau_Province.html,,,,,,,,,,,,"'https://www.tripadvisor.com/Hotel_Review-g303946-d22939248-Reviews-Premier_Pearl_Hotel_Vung_Tau-Vung_Tau_Ba_Ria_Vung_Tau_Province.html',"
/Hotel_Review-g303946-d12850481-Reviews-The_Wind_Mountain_Side_Hotel-Vung_Tau_Ba_Ria_Vung_Tau_Province.html,,,,,,,,,,,,"'https://www.tripadvisor.com/Hotel_Review-g303946-d12850481-Reviews-The_Wind_Mountain_Side_Hotel-Vung_Tau_Ba_Ria_Vung_Tau_Province.html',"
/Hotel_Review-g303946-d1893815-Reviews-Binh_Chau_Hot_Spring_Resort-Vung_Tau_Ba_Ria_Vung_Tau_Province.html,,,,,,,,,,,,"'https://www.tripadvisor.com/Hotel_Review-g303946-d1893815-Reviews-Binh_Chau_Hot_Spring_Resort-Vung_Tau_Ba_Ria_Vung_Tau_Province.html',"
/Hotel_Review-g303946-d3648130-Reviews-Corvin_Hotel-Vung_Tau_Ba_Ria_Vung_Tau_Province.html,,,,,,,,,,,,"'https://www.tripadvisor.com/Hotel_Review-g303946-d3648130-Reviews-Corvin_Hotel-Vung_Tau_Ba_Ria_Vung_Tau_Province.html',"
/Hotel_Review-g303946-d8778363-Reviews-Pullman_Vung_Tau-Vung_Tau_Ba_Ria_Vung_Tau_Province.html,,,,,,,,,,,,"'https://www.tripadvisor.com/Hotel_Review-g303946-d8778363-Reviews-Pullman_Vung_Tau-Vung_Tau_Ba_Ria_Vung_Tau_Province.html',"
/Hotel_Review-g303946-d12287197-Reviews-VeeVoo_hotel-Vung_Tau_Ba_Ria_Vung_Tau_Province.html,,,,,,,,,,,,"'https://www.tripadvisor.com/Hotel_Review-g303946-d12287197-Reviews-VeeVoo_hotel-Vung_Tau_Ba_Ria_Vung_Tau_Province.html',"
